State_Count,Date,State,Active,Deceased,Recovered,State_Name
1,14-Jun-20,UT,34,1,34,Uttarakhand
1,14-Jun-20,WB,389,12,518,West Bengal
1,14-Mar-20,AN,0,0,0,Andaman and Nicobar Islands
1,14-Mar-20,AP,1,0,0,Andhra Pradesh
1,14-Mar-20,AR,0,0,0,Arunachal Pradesh
1,14-Mar-20,AS,0,0,0,Assam
1,14-Mar-20,BR,0,0,0,Bihar
1,14-Mar-20,CH,0,0,0,Chandigarh
1,14-Mar-20,CT,0,0,0,Chhattisgarh
1,14-Mar-20,DD,0,0,0,Daman and Diu
1,14-Mar-20,DL,7,1,1,Delhi
1,14-Mar-20,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
1,14-Mar-20,GA,0,0,0,Goa
1,14-Mar-20,GJ,0,0,0,Gujarat
1,14-Mar-20,HP,0,0,0,Himachal Pradesh
1,14-Mar-20,HR,14,0,0,Haryana
1,14-Mar-20,JH,0,0,0,Jharkhand
1,14-Mar-20,JK,2,0,0,Jammu and Kashmir
1,14-Mar-20,KA,6,1,0,Karnataka
1,14-Mar-20,KL,19,0,3,Kerala
1,14-Mar-20,LA,0,0,0,Ladakh
1,14-Mar-20,LD,0,0,0,Lakshadweep
1,14-Mar-20,MH,14,0,0,Maharashtra
1,14-Mar-20,ML,0,0,0,Meghalaya
1,14-Mar-20,MN,0,0,0,Manipur
1,14-Mar-20,MP,0,0,0,Madhya Pradesh
1,14-Mar-20,MZ,0,0,0,Mizoram
1,14-Mar-20,NL,0,0,0,Nagaland
1,14-Mar-20,OR,0,0,0,Odisha
1,14-Mar-20,PB,1,0,0,Punjab
1,14-Mar-20,PY,0,0,0,Puducherry
1,14-Mar-20,RJ,3,0,1,Rajasthan
1,14-Mar-20,SK,0,0,0,Sikkim
1,14-Mar-20,TG,1,0,0,Telangana
1,14-Mar-20,TN,1,0,0,Tamil Nadu
1,14-Mar-20,TR,0,0,0,Tripura
1,14-Mar-20,TT,81,2,9,Total
1,14-Mar-20,UN,0,0,0,State Unassigned
1,14-Mar-20,UP,12,0,4,Uttar Pradesh
1,14-Mar-20,UT,0,0,0,Uttarakhand
1,14-Mar-20,WB,0,0,0,West Bengal
1,14-May-20,AN,0,0,0,Andaman and Nicobar Islands
1,14-May-20,AP,68,1,50,Andhra Pradesh
1,14-May-20,AR,0,0,0,Arunachal Pradesh
1,14-May-20,AS,7,0,0,Assam
1,14-May-20,BR,46,0,12,Bihar
1,14-May-20,CH,0,0,7,Chandigarh
1,14-May-20,CT,1,0,1,Chhattisgarh
1,14-May-20,DD,0,0,0,Daman and Diu
1,14-May-20,DL,472,9,187,Delhi
1,14-May-20,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
1,14-May-20,GA,8,0,0,Goa
1,14-May-20,GJ,324,20,191,Gujarat
1,14-May-20,HP,6,0,0,Himachal Pradesh
1,14-May-20,HR,25,0,21,Haryana
1,14-May-20,JH,26,0,0,Jharkhand
1,14-May-20,JK,12,0,19,Jammu and Kashmir
1,14-May-20,KA,28,2,9,Karnataka
1,14-May-20,KL,26,0,3,Kerala
1,14-May-20,LA,0,0,0,Ladakh
1,14-May-20,LD,0,0,0,Lakshadweep
1,14-May-20,MH,1602,44,542,Maharashtra
1,14-May-20,ML,0,0,0,Meghalaya
1,14-May-20,MN,1,0,0,Manipur
1,14-May-20,MP,253,5,167,Madhya Pradesh
1,14-May-20,MZ,0,0,0,Mizoram
1,14-May-20,NL,0,0,0,Nagaland
